combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,beam_direction,round_k
1c4fdc62d136,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2020_china_covid,15,470,0,gbrt,0.17139897487651068,True,False,0.29484732255040974,0.14192914082680624,10,src/shocks/reverse_search_runs/combo_1c4fdc62d136/model,beam,reverse,15
5d1835661c17,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_saudi_aramco_attack|2020_china_covid,15,495,0,gbrt,0.16100939023991234,True,False,0.30706310953051913,0.14834342320077537,10,src/shocks/reverse_search_runs/combo_5d1835661c17/model,beam,reverse,15
3c15e2d6c652,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,456,0,gbrt,0.17248546406632928,True,False,0.3274631238940322,0.1464063509480252,10,src/shocks/reverse_search_runs/combo_3c15e2d6c652/model,beam,reverse,15
61dc60f398a5,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,475,0,gbrt,0.17804291514723164,True,False,0.2378675126617324,0.11040440652050758,10,src/shocks/reverse_search_runs/combo_61dc60f398a5/model,beam,reverse,15
8a32211ba0db,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,438,0,gbrt,0.17235156160222742,True,False,0.28364129292226137,0.14274698035085256,10,src/shocks/reverse_search_runs/combo_8a32211ba0db/model,beam,reverse,15
f8634fb4ded2,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack,15,507,0,xgboost,0.17128416454361114,True,False,0.35858103223553817,0.1639899530130875,10,src/shocks/reverse_search_runs/combo_f8634fb4ded2/model,beam,reverse,15
4bb7a0e25ef6,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2020_china_covid,15,488,0,gbrt,0.173333162946492,True,False,0.3524634490677229,0.1787155600274547,6,src/shocks/reverse_search_runs/combo_4bb7a0e25ef6/model,beam,reverse,15
70dae4eb469c,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_saudi_aramco_attack|2020_china_covid,15,513,0,gbrt,0.16542249017665683,True,False,0.2901632204285147,0.13719520002192584,10,src/shocks/reverse_search_runs/combo_70dae4eb469c/model,beam,reverse,15
28a3108ef3f6,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,474,0,gbrt,0.17380665295193246,True,False,0.2931656959905221,0.141023020288226,10,src/shocks/reverse_search_runs/combo_28a3108ef3f6/model,beam,reverse,15
50583636c804,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_sweden_wildfires|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,493,0,gbrt,0.18320892799479574,True,False,0.2827728661825446,0.1393374647120001,10,src/shocks/reverse_search_runs/combo_50583636c804/model,beam,reverse,15
92bb3b3651eb,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2017_hurricane_maria|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,456,0,gbrt,0.17608884213557074,True,False,0.2955010538980704,0.14611799247077176,10,src/shocks/reverse_search_runs/combo_92bb3b3651eb/model,beam,reverse,15
50090952c61c,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2015_tianjin_explosion|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,492,0,gbrt,0.17706647528580743,True,False,0.31605266542752575,0.12666801119996038,10,src/shocks/reverse_search_runs/combo_50090952c61c/model,beam,reverse,15
ee1704d43754,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2017_hurricane_maria|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,414,0,gbrt,0.179324085402376,True,False,0.2217591818352474,0.1098386253946558,10,src/shocks/reverse_search_runs/combo_ee1704d43754/model,beam,reverse,15
e7be9d3b1c65,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,450,0,gbrt,0.16310834624286136,True,False,0.3023203161873373,0.13481767746840573,10,src/shocks/reverse_search_runs/combo_e7be9d3b1c65/model,beam,reverse,15
32180262bcc7,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_samarco_dam_collapse|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,468,0,gbrt,0.17905824709501214,True,False,0.3283801835554767,0.14526434995018514,10,src/shocks/reverse_search_runs/combo_32180262bcc7/model,beam,reverse,15
88a3432bfe62,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_tianjin_explosion|2017_british_columbia_wildfires|2017_hurricane_maria|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,427,0,xgboost,0.1679315763149537,True,False,0.32938901022192935,0.17633930833503472,10,src/shocks/reverse_search_runs/combo_88a3432bfe62/model,beam,reverse,15
c5358448680e,2010_russia_wheat_ban|2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2015_tianjin_explosion|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires|2019_brumadinho_dam_collapse|2019_saudi_aramco_attack|2020_china_covid,15,463,0,xgboost,0.16472836094670484,True,False,0.36382810489020706,0.2208545586581908,6,src/shocks/reverse_search_runs/combo_c5358448680e/model,beam,reverse,15
