shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_change,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,shock_yoy_actual,shock_yoy_expected,shock_yoy_dev,shock_logyoy_actual,shock_logyoy_expected,shock_logyoy_dev,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,prop_yoy_actual,prop_yoy_expected,prop_yoy_dev,prop_logyoy_actual,prop_logyoy_expected,prop_logyoy_dev,icio_edge_value,is_domestic,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-03,0,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,14444517815.616999,12931613870.329998,-0.10473897187840304,15740870520.386,-2809256650.0560017,-0.17846895102896207,,0.0,-0.10473897187840304,0.0,-0.10473897187840304,-0.11063995168871443,0.0,-0.11063995168871443,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-04,1,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,13747734531.897,8425652214.546,-0.3871243152828487,15740870520.386,-7315218305.84,-0.4647276843022158,,0.0,-0.3871243152828487,0.0,-0.3871243152828487,-0.4895931617438798,0.0,-0.4895931617438798,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-05,2,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,11648536793.605,9219605257.262,-0.20851816664874803,15740870520.386,-6521265263.124001,-0.41428873038999403,,0.0,-0.20851816664874803,0.0,-0.20851816664874803,-0.2338483520796828,0.0,-0.2338483520796828,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-06,3,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,14767429311.001,15030545763.819002,0.01781734974156904,15740870520.386,-710324756.5669975,-0.045126141889488006,,0.0,0.01781734974156904,0.0,0.01781734974156904,0.017660481343249046,0.0,0.017660481343249046,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-07,4,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,15001689712.644001,15866897461.36,0.05767401974637359,15740870520.386,126026940.97400093,0.008006351415621102,,0.0,0.05767401974637359,0.0,0.05767401974637359,0.05607217607632009,0.0,0.05607217607632009,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-08,5,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,12164178143.711,14169507560.6,0.16485531477733043,15740870520.386,-1571362959.7859993,-0.09982694144843687,,0.0,0.16485531477733043,0.0,0.16485531477733043,0.1525968859692206,0.0,0.1525968859692206,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-09,6,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,15507042163.491999,18165287088.0,0.17142178995077914,15740870520.386,2424416567.6140003,0.15402048854122385,,0.0,0.17142178995077914,0.0,0.17142178995077914,0.15821821612229314,0.0,0.15821821612229314,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-10,7,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,15610251164.406998,17112602743.703999,0.0962413457332781,15740870520.386,1371732223.317999,0.08714462275396197,,0.0,0.0962413457332781,0.0,0.0962413457332781,0.09188737023944782,0.0,0.09188737023944782,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-11,8,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,14912892459.461998,15901441408.639997,0.06628821014200907,15740870520.386,160570888.2539978,0.010200889972765005,,0.0,0.06628821014200907,0.0,0.06628821014200907,0.06418365518406333,0.0,0.06418365518406333,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-12,9,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,-0.01212058862885613,0.0,-0.01212058862885613,-0.012193673612255651,0.0,-0.012193673612255651,16826427348.0,17002967025.460003,0.010491809925473366,15740870520.386,1262096505.0740032,0.08017958749101342,,0.0,0.010491809925473366,0.0,0.010491809925473366,0.010437152855761411,0.0,0.010437152855761411,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
