shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_change,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,shock_yoy_actual,shock_yoy_expected,shock_yoy_dev,shock_logyoy_actual,shock_logyoy_expected,shock_logyoy_dev,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,prop_yoy_actual,prop_yoy_expected,prop_yoy_dev,prop_logyoy_actual,prop_logyoy_expected,prop_logyoy_dev,icio_edge_value,is_domestic,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-03,0,0.1918588930262852,460391797.61580604,3844652464.0,1026176556.0,0.26691009541402333,,602545279.2037708,0.0,0.1918588930262852,0.0,0.1918588930262852,0.17551418326284818,0.0,0.17551418326284818,11061939287.0,13940460458.0,0.26021849300717464,10816296544.0,3124163914.0,0.2888385965835073,,0.0,0.26021849300717464,0.0,0.26021849300717464,0.23128511305998956,0.0,0.23128511305998956,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-04,1,-0.3642335597660213,-739356270.4285493,3844652464.0,-1646773351.0,-0.4283282732106004,,-966944238.5542321,0.0,-0.3642335597660213,0.0,-0.3642335597660213,-0.4529240152591143,0.0,-0.4529240152591143,10650365373.0,12523754614.0,0.1758990584256644,10816296544.0,1707458070.0,0.15785976864208282,,0.0,0.1758990584256644,0.0,0.1758990584256644,0.16203301110633106,0.0,0.16203301110633106,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-05,2,-0.4127756698933908,-841085278.2082642,3844652464.0,-1806848597.0,-0.469964090101435,,-1060936430.4735749,0.0,-0.4127756698933908,0.0,-0.4127756698933908,-0.5323483682323804,0.0,-0.5323483682323804,10776034810.0,12715418495.0,0.17997192095187747,10816296544.0,1899121951.0,0.17557968601124183,,0.0,0.17997192095187747,0.0,0.17997192095187747,0.16549064237680255,0.0,0.16549064237680255,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-06,3,-0.3174811478339236,-782595912.1905457,3844652464.0,-979374991.0,-0.2547369366075425,,-575064567.5414218,0.0,-0.3174811478339236,0.0,-0.3174811478339236,-0.3819651299723468,0.0,-0.3819651299723468,10799940009.0,12380200654.0,0.14632124286645193,10816296544.0,1563904110.0,0.1445877619606802,,0.0,0.14632124286645193,0.0,0.14632124286645193,0.1365578956367557,0.0,0.1365578956367557,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-07,4,-0.02673648236176792,-63788201.089662395,3844652464.0,109914477.0,0.028588923974065605,,64539039.45209741,0.0,-0.02673648236176792,0.0,-0.02673648236176792,-0.027100403407640528,0.0,-0.027100403407640528,8778806945.0,11261143485.0,0.2827646803890389,10816296544.0,444846941.0,0.041127472715859,,0.0,0.2827646803890389,0.0,0.2827646803890389,0.24901765521555674,0.0,0.24901765521555674,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-08,5,0.1322198626137578,334474725.7286579,3844652464.0,1033212513.0,0.2687401586163238,,606676617.6661851,0.0,0.1322198626137578,0.0,0.1322198626137578,0.12418018581848145,0.0,0.12418018581848145,10707354999.0,12822762722.0,0.19756585292983803,10816296544.0,2006466178.0,0.185503991115427,,0.0,0.19756585292983803,0.0,0.19756585292983803,0.18029104078373592,0.0,0.18029104078373592,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,CHN_C29,CHN,2011-03,0,0.11910809427867586,174914735.7490632,1585852004.0,865314267.0,0.5456462928554586,,580173985.5264719,0.0,0.11910809427867586,0.0,0.11910809427867586,0.11253202361373482,0.0,0.11253202361373482,4853471294.0,7548074204.0,0.5551908617098745,4431386115.0,3116688089.0,0.7033212652019153,,0.0,0.5551908617098745,0.0,0.5551908617098745,0.4415982786750625,0.0,0.4415982786750625,3854.80810546875,False,0.14203454978111069,0.00794070383926925,8.440365173125944,10.5962719761682,6.92845731295996,4.53
2011_japan_earthquake,JPN_C29,2011-03,CHN_C29,CHN,2011-04,1,-0.21226692624369808,-262019936.51255628,1585852004.0,-135589232.0,-0.08549929732282888,,-90909566.75964922,0.0,-0.21226692624369808,0.0,-0.21226692624369808,-0.23859598525081083,0.0,-0.23859598525081083,5365551767.0,7745080412.0,0.4434825621541711,4431386115.0,3313694297.0,0.7477782822361893,,0.0,0.4434825621541711,0.0,0.4434825621541711,0.3670586397371949,0.0,0.3670586397371949,3854.80810546875,False,0.14203454978111069,0.00794070383926925,8.440365173125944,10.5962719761682,6.92845731295996,4.53
2011_japan_earthquake,JPN_C29,2011-03,CHN_C29,CHN,2011-05,2,-0.12119191242501949,-119027734.53693178,1585852004.0,-298538910.0,-0.18825143156296695,,-200163704.5115641,0.0,-0.12119191242501949,0.0,-0.12119191242501949,-0.12918873544425935,0.0,-0.12918873544425935,5820057537.0,7493523252.0,0.28753422184595834,4431386115.0,3062137137.0,0.6910111323034643,,0.0,0.28753422184595834,0.0,0.28753422184595834,0.2527289332386715,0.0,0.2527289332386715,3854.80810546875,False,0.14203454978111069,0.00794070383926925,8.440365173125944,10.5962719761682,6.92845731295996,4.53
2011_japan_earthquake,JPN_C29,2011-03,CHN_C29,CHN,2011-06,3,-0.023396709397738753,-26972881.777031235,1585852004.0,93363224.0,0.05887259578101211,,62597966.814386,0.0,-0.023396709397738753,0.0,-0.023396709397738753,-0.023674757898991317,0.0,-0.023674757898991317,6223336828.0,7594672813.0,0.22035381064866894,4431386115.0,3163286698.0,0.7138368483153493,,0.0,0.22035381064866894,0.0,0.22035381064866894,0.19914082540016764,0.0,0.19914082540016764,3854.80810546875,False,0.14203454978111069,0.00794070383926925,8.440365173125944,10.5962719761682,6.92845731295996,4.53
