shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_dev,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,shock_yoy_actual,shock_yoy_expected,shock_logyoy_actual,shock_logyoy_expected,shock_logyoy_dev,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,prop_yoy_actual,prop_yoy_expected,prop_yoy_dev,prop_logyoy_actual,prop_logyoy_expected,prop_logyoy_dev,icio_edge_value,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2010_russia_wheat_ban,RUS_A01,2010-08,EGY_C10T12,EGY,2011-04,8,-0.8688041174855092,-82612559.06581578,107487277.86872062,-106295673.12072062,-0.9889139926917178,,-82612559.06581578,0.0,-0.990260458576692,-0.1214563410911826,-4.631560413201328,-0.1294896743525235,-4.502070738848804,215100678.03000003,237211491.68099996,0.1027928589230952,346312260.5463223,-109100768.86532232,-0.3150358254518948,,0.0,0.1027928589230952,0.6100007852974885,-0.5072079263743932,0.0978459243079541,0.47623466499725,-0.3783887406892958,181.8970947265625,0.1560826123829631,0.0127453861823804,7.679084812785493,4.67359979952391,11.1855422672375,9.087
2010_russia_wheat_ban,RUS_A01,2010-08,EGY_C10T12,EGY,2011-06,10,-0.8775019666464503,-46164246.84805742,59468983.56691147,-59398470.98691147,-0.9988142965329034,,-46164246.84805742,0.0,-0.998958307737636,-0.1214563410911857,-6.866894545901523,-0.1294896734401405,-6.737404872461383,370151537.937,436656226.007,0.1796688146715716,595944266.7576429,-159288040.75064284,-0.2672868079045078,,0.0,0.1796688146715716,0.6100007852974879,-0.4303319706259163,0.1652337331395976,0.4762346657350811,-0.3110009325954834,181.8970947265625,0.1560826123829631,0.0127453861823804,7.679084812785493,4.67359979952391,11.1855422672375,9.087
2010_russia_wheat_ban,RUS_A01,2010-08,EGY_C10T12,EGY,2011-07,11,-0.4452590615165882,-34904574.84999939,88614021.33989026,-44910910.890890256,-0.5068149510857745,,-34904574.84999938,0.0,-0.5667154026077736,-0.1214563410911854,-0.8363604851145752,-0.1294896741118627,-0.7068708110027124,290497302.3,224728395.889,-0.2264010918183318,467700884.8298022,-242972488.94080225,-0.5195040181059752,,0.0,-0.2264010918183318,0.6100007852974895,-0.8364018771158214,-0.2567017451839852,0.4762346654544132,-0.7329364106383984,181.8970947265625,0.1560826123829631,0.0127453861823804,7.679084812785493,4.67359979952391,11.1855422672375,9.087
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2010-09,1,-0.6111328443338381,-16095445.299076311,50017663.19980469,-30712388.199804693,-0.6140308490046495,-2.209669034163435,-16095445.299076311,13899089.739216166,-0.6158524845204985,-0.0047196401866603,-0.9567286133677372,-0.0047308127618919,-0.9519978006058452,552976395.0,628171045.0,0.1359816633764267,556418716.7430078,71752328.25699222,0.1289538365585432,1.5373892042430493,46671544.2380905,0.1359816633764267,0.0062250789981872,0.1297565843782395,0.1274971785582224,0.0062057832197766,0.1212913953384458,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2010-10,2,-0.8589307781045519,-33301701.6814963,73743586.19980466,-63544361.19980466,-0.8616933956484609,-4.571836169998585,-33301701.6814963,13899089.739216166,-0.8621368111992237,-0.0032060330946718,-1.9814933865445603,-0.003211183386341,-1.9782822031582192,638007739.0,759282436.0,0.1900834262450851,641450060.743008,117832375.25699198,0.1836968806589615,2.5247155880654213,46671544.2380905,0.1900834262450851,0.0053954231784138,0.1846880030666712,0.1740234105040805,0.0053809200180694,0.1686424904860111,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2010-11,3,-0.7309224533954062,-18608118.774671715,57686398.90058595,-35506924.90058595,-0.6155164055530131,-2.554622321805971,-18608118.774671715,13899089.739216166,-0.5434277793278546,0.1874946740675516,-0.7840083617624778,0.1718457686706145,-0.9558541304330924,532115838.0,633689712.0,0.190886770786176,535558159.743008,98131552.25699204,0.1832322978779396,2.1025992145531576,46671544.2380905,0.190886770786176,0.006469121001822,0.184417649784354,0.1746982148439251,0.0064482860341001,0.1682499288098249,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2010-12,4,-0.691017122489105,-22936814.373997472,55740185.9005859,-43766688.9005859,-0.7851909388792666,-3.14888886407421,-22936814.373997472,13899089.739216166,-0.810954594672087,-0.119937472182982,-1.6657679852161031,-0.1277623175448816,-1.5380056676712217,583212691.0,792565305.0,0.3589644348119989,586655012.743008,205910292.256992,0.3509904250101306,4.411902276182677,46671544.2380905,0.3589644348119989,0.0059023436837522,0.3530620911282467,0.3067229642573856,0.0058849930825033,0.3008379711748823,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2011-01,5,-0.5832627565466673,-13268558.712098485,40729372.40058594,-25318288.400585946,-0.6216223552765008,-1.821578885784916,-13268558.712098485,13899089.739216166,-0.6449716034120136,-0.0617088468653464,-1.035557460465938,-0.0636949788261098,-0.9718624816398282,473909829.0,628004339.0,0.325155758691808,490344636.9003513,137659702.0996487,0.2807407112064002,2.9495424749048516,46671544.2380905,0.325155758691808,0.0346791876738038,0.2904765710180041,0.2815300057411924,0.0340914149977713,0.2474385907434211,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2011-02,6,-0.7848344403779219,-9870475.93079538,25262600.40058592,-18834265.40058592,-0.7455394576145492,-1.3550718611050618,-9870475.93079538,13899089.739216166,-0.7321276622697556,0.0527067781081664,-1.3172446498249355,0.0513647289522936,-1.368609378777229,488120558.0,637352165.0,0.305726945022463,489733579.4003513,147618585.5996487,0.3014263097506988,3.162924818741509,46671544.2380905,0.305726945022463,0.0033045553478845,0.3024223896745785,0.2667599311966704,0.0032991072970567,0.2634608238996136,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
2010_russia_wheat_ban,RUS_A01,2010-08,TUR_C10T12,TUR,2011-03,7,-0.7443989724373031,-25889986.507637206,55423537.400585935,-49401759.400585935,-0.8913498076372091,-3.554316169439448,-25889986.507637218,13899089.739216166,-0.9092622325634744,-0.1648632601261712,-2.39978145801496,-0.1801598042359948,-2.2196216537789653,524012980.0,693290647.0,0.3230409807787586,504032395.9003517,189258251.0996483,0.3754882674983159,4.055110114509285,46671544.2380905,0.3230409807787586,-0.03812994116987,0.3611709219486286,0.2799328598324528,-0.0388759113452437,0.3188087711776965,180.65289306640625,0.2551348290422237,0.0036191389411436,9.113600890667618,-4.88269401706633,5.58017075378858,14.026
