combo_id,events,n_events,n_rows,train_exit_code,selected_model,selected_mae,passed_train,early_stopped,rel_mae_focus,rel_mae_overall,n_eval_rows,model_dir,search_mode,round_k
71e254127ca4,2011_japan_earthquake|2011_queensland_floods|2011_thailand_floods|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,241,0,catboost,0.1976610026147524,True,True,0.2524192465646101,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_71e254127ca4/model,beam,6
6417e4f4c7dc,2011_japan_earthquake|2011_queensland_floods|2012_us_droughts|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs,6,201,0,gbrt,0.21163170483933488,True,True,0.30351537232912135,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_6417e4f4c7dc/model,beam,6
88896221510a,2011_japan_earthquake|2011_queensland_floods|2012_us_droughts|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,206,0,rf,0.19185880085695214,True,True,0.4118020573792703,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_88896221510a/model,beam,6
d711b5ea2898,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2014_russia_crimea_sanctions|2018_sweden_wildfires|2018_us_china_tariffs,6,197,0,rf,0.21759513496988506,True,True,0.4136669377273918,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_d711b5ea2898/model,beam,6
b6f50ffe7661,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2015_samarco_dam_collapse|2018_sweden_wildfires|2018_us_china_tariffs,6,224,0,catboost,0.2243853577585411,True,True,0.2990339180565257,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_b6f50ffe7661/model,beam,6
e8dd43aa32e7,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2015_tianjin_explosion|2018_sweden_wildfires|2018_us_china_tariffs,6,237,0,catboost,0.2307119322910003,True,True,0.3207808991976779,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_e8dd43aa32e7/model,beam,6
dbbf77037227,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2017_british_columbia_wildfires|2018_sweden_wildfires|2018_us_china_tariffs,6,195,0,catboost,0.20965465505273762,True,True,0.3000743807496734,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_dbbf77037227/model,beam,6
f5fe0a0a4df3,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2017_hurricane_maria|2018_sweden_wildfires|2018_us_china_tariffs,6,213,0,gbrt,0.22032423580301227,True,True,0.31885822151918347,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_f5fe0a0a4df3/model,beam,6
be64608b4a27,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs|2019_amazon_forest_fires,6,231,0,gbrt,0.20414528717788538,True,True,0.27532526701127813,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_be64608b4a27/model,beam,6
9f7fec403d9e,2011_japan_earthquake|2011_queensland_floods|2014_indonesia_mineral_export_ban|2018_sweden_wildfires|2018_us_china_tariffs|2019_brumadinho_dam_collapse,6,192,0,catboost,0.23278192325546,True,True,0.22161256736914425,,0,/Users/nataliewang/Projects/supplychain-OSINT/src/shocks/combo_search_runs/combo_9f7fec403d9e/model,beam,6
