shock_event,shock_node,shock_date,target_node,target_country,observation_date,months_after_shock,shock_yoy_change,shock_value,shock_expected,shock_dev_abs,shock_dev_pct,shock_dev_z,shock_dev_abs_weighted,shock_resid_std,export_baseline,export_observed,yoy_change,prop_expected,prop_dev_abs,prop_dev_pct,prop_dev_z,prop_resid_std,icio_edge_value,is_domestic,supplier_hhi,shocked_supplier_share,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-03,0,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,14444517815.616999,12931613870.329998,-0.10473897187840304,15740870520.386,-2809256650.0560017,-0.17846895102896207,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-04,1,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,13747734531.897,8425652214.546,-0.3871243152828487,15740870520.386,-7315218305.84,-0.4647276843022158,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-05,2,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,11648536793.605,9219605257.262,-0.20851816664874803,15740870520.386,-6521265263.124001,-0.41428873038999403,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-06,3,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,14767429311.001,15030545763.819002,0.01781734974156904,15740870520.386,-710324756.5669975,-0.045126141889488006,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-07,4,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,15001689712.644001,15866897461.36,0.05767401974637359,15740870520.386,126026940.97400093,0.008006351415621102,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-08,5,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,12164178143.711,14169507560.6,0.16485531477733043,15740870520.386,-1571362959.7859993,-0.09982694144843687,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-09,6,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,15507042163.491999,18165287088.0,0.17142178995077914,15740870520.386,2424416567.6140003,0.15402048854122385,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-10,7,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,15610251164.406998,17112602743.703999,0.0962413457332781,15740870520.386,1371732223.317999,0.08714462275396197,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-11,8,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,14912892459.461998,15901441408.639997,0.06628821014200907,15740870520.386,160570888.2539978,0.010200889972765005,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2011-12,9,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,16826427348.0,17002967025.460003,0.010491809925473366,15740870520.386,1262096505.0740032,0.08017958749101342,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2012-01,10,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,11241374620.390001,13447972068.41,0.1962924929143091,15740870520.386,-2292898451.976,-0.14566528890549396,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,JPN_C29,JPN,2012-02,11,-0.01212058862885613,-153.56119791666788,12669.450520833334,-153.56119791666788,-0.01212058862885613,,-153.56119791666788,0.0,12984541314.973001,17171437072.847,0.3224523420820356,15740870520.386,1430566552.4610004,0.0908823022594763,,0.0,150190.671875,True,0.20513499587818707,0.4214977428866522,10.713732116746254,4.09791791943181,-1.88074195006213,5.102
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-03,0,0.1918588930262852,460391797.61580604,3844652464.0,1026176556.0,0.26691009541402333,,602545279.2037708,0.0,11061939287.0,13940460458.0,0.26021849300717464,10816296544.0,3124163914.0,0.2888385965835073,,0.0,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
2011_japan_earthquake,JPN_C29,2011-03,USA_C29,USA,2011-04,1,-0.3642335597660213,-739356270.4285493,3844652464.0,-1646773351.0,-0.4283282732106004,,-966944238.5542321,0.0,10650365373.0,12523754614.0,0.1758990584256644,10816296544.0,1707458070.0,0.15785976864208282,,0.0,7684.94287109375,False,0.08932587709177556,0.021517489537109222,10.792275733004598,2.69519257744442,1.21525703756249,9.633
